bestätigen	VB	подтвержда́ть, удостоверя́ть	trans		ohne ge-	
Bestätigung	N	утвержде́ние nt		f		<-, -en>
bestehen	VB	существова́ть imperf	intr		irreg, ohne ge-	
bestellen	VB	зака́зывать	trans		ohne ge-	
bestimmt	ADJ	устано́вленный, назна́ченный				
bestrafen	VB	нака́зывать, штрафова́ть	trans		ohne ge-	
besuchen	VB	посеща́ть	trans		ohne ge-	
Besuch	N	посеще́ние nt		m		<-(e)s, -e>
Betrag	N	су́мма f		m	pl:	<-(e)s, Beträge>
betreuen	VB	забо́титься, по- perf	trans		ohne ge-	
Betreuung	N	руководи́тель m, забо́та f		f	ohne pl	
Betrieb	N	предприя́тие nt		m	pl:	<-(e)s, -e>
Betriebsrat	N	произво́дственный сове́т m		m		<-(e)s, -räte>
betrügen	VB	обма́нывать	trans		irreg, ohne ge-	
betrunken	ADJ	пья́ный				
Bett	N	крова́ть f, посте́ль f		nt		<-(e)s, -en>
Bevölkerung	N	населе́ние nt		f	rar	<-, rar -en>
bevor	CONJ	пре́жде че́м				
bewegen	VB	дви́гать, дви́нуть perf	trans		ohne ge-	
Bewegung	N	движе́ние nt		f		<-, -en>
beweisen	VB	дока́зывать	trans		irreg, ohne ge-	
Beweis	N	доказа́тельство nt, до́вод m		m		<-es, -e>
Bewerbung	N	заявле́ние  nt  о приёме на рабо́ту		f		<-, -en>
bezahlen	VB	плати́ть, за- perf	trans		ohne ge-	
Beziehung	N	связь f, отноше́ние nt		f		<-, -en>
Bibliothek	N	библиоте́ка f		f		<-, -en>
Bier	N	пи́во nt		nt	bei Mengenangaben:	<-(e)s, -e [oder bei Mengenangaben: -]>
bieten	VB	предлага́ть, дава́ть	trans		bietet, bot, geboten	Bild	N	карти́на f, рису́нок m		nt	pl:	<-(e)s, -er>
Bildschirm	N	экра́н m		m		<-(e)s, -e>
billig	ADJ	дешёвый, недорого́й				
Biologie	N	биоло́гия f		f	kein pl	<->
Birne	N	гру́ша f, электри́ческая ла́мпочка f		f		<-, -n>
bis	PREP	до			+ akk	
bisher	ADV	до сих по́р				
bitten	VB	проси́ть, по- perf	trans		bittet, bat, gebeten	
Bitte	N	про́сьба f		f		<-, -n>
bitter	ADJ	го́рький				
blass	ADJ	бле́дный			rar	<blasser [oder rar blässer], blasseste [oder rar blässeste] >
